"","Response","Image","respModal","Target","RepSwitch","Accuracy","RT","Duration","Notes"
"196","vaso","vaso","speak","NT","nontarget","1","0.67084299999999997","0.56610199999999999",NA
"197","vaso","vaso","speak","T","repeat","1","0.639463","0.48321500000000006",NA
"198","regalo","regalo","type","F","filler","1","0,821","0,976",NA
"199","baño","bano","type","F","filler","0","1,16","1,44","corrected with backspace"
"200","cazador","cazador","speak","NT","nontarget","1","1.054138","0.54448699999999994",NA
"201","cazador","cazador","speak","T","repeat","1","0.76026099999999996","0.64848399999999995",NA
"202","espalda","espalda","speak","NT","nontarget","1","0.72561299999999995","0.63181000000000009",NA
"203","esplad","espalda","type","T","switch","0","0,982","1,952","corrected with backspace"
"204","camisa","camisa","speak","F","filler","1","0.74399999999999999","0.54351100000000008",NA
"205","puente","puente","type","NT","nontarget","1","1,19","0,911",NA
"206","puente","puente","speak","T","switch","1","0.92440199999999995","0.55404500000000012",NA
"207","muneca","muneca","speak","NT","nontarget","1","0.76410900000000004","0.61287100000000005",NA
"208","muneca","muneca","type","T","switch","0","1,092","1,889","corrected with backspace"
"209","vaca","vaca","type","F","filler","1","0,913","0,752",NA
"210","pulpo","pulpo","speak","F","filler","1","0.69987999999999995","0.54779100000000003",NA
"211","vaso","vaso","type","NT","nontarget","1","0,946","0,512",NA
"212","vaso","vaso","type","T","repeat","1","0,783","0,401",NA
"213","pierna","pierna","type","F","filler","1","1,115","0,944",NA
"214","bombero","bombero","speak","F","filler","1","0.59724999999999995","0.59465299999999999",NA
"215","traje","traje","type","NT","nontarget","0","1,313","1,408","corrected with backspace"
"216","traje","traje","type","T","repeat","1","0,812","0,704",NA
"217","pavo","pavo","type","NT","nontarget","1","1,148","0,384",NA
"218","pavo","pavo","speak","T","switch","1","0.753","0.30649800000000005",NA
"219","cerdo","cerdo","type","NT","nontarget","0","0,9","1,12","corrected with backspace"
"220","cerdo","cerdo","type","T","repeat","1","1,017","0,545",NA
"221","vaso","vaso","speak","F","filler","1","0.83036299999999996","0.54900799999999994",NA
"222","cazador","cazador","speak","F","filler","0(?)","2.6080000000000001","0.3919999999999999","end of the audio file (44_066)"
"223","manzana","manzana","type","NT","nontarget","1","0,979","0,767",NA
"224","manzana","manzana","type","T","repeat","1","0,915","0,672",NA
"225","cuerda","cuerda","type","NT","nontarget","1","0,97","0,703",NA
"226","cuerda","cuerda","speak","T","switch","1","0.673655","0.56912200000000002",NA
"227","espalda","espalda","type","F","filler","1","1,06","1,504",NA
"228","granja","granja","speak","NT","nontarget","1","0.81853200000000004","0.64250300000000005",NA
"229","granja","granja","type","T","switch","1","0,919","0,816",NA
"230","falda","falda","type","NT","nontarget","1","1,336","0,544",NA
"231","falda","falda","speak","T","switch","1","0.51138700000000004","0.65477999999999992",NA
"232","puente","puente","speak","F","filler","1","0.95686499999999997","0.64243600000000012",NA
"233","mune","muneca","type","F","filler","0","1,082","1,776",NA
"234","caracol","caracol","speak","NT","nontarget","1","1.207673","0.62969900000000001",NA
"235","caracol","caracol","speak","T","repeat","1","0.72954799999999997","0.5815800000000001",NA
"236","vaso","vaso","type","F","filler","1","0,733","0,448",NA
"237","pintor","pintor","speak","NT","nontarget","1","0.91907300000000003","0.59397499999999992",NA
"238","pintor","pintor","speak","T","repeat","1","0.63200000000000001","0.53621899999999989",NA
"239","mano","mano","speak","NT","nontarget","1","0.65128799999999998","0.49995899999999993",NA
"240","mano","mano","type","T","switch","1","0,809","0,496",NA
"241","traje","traje","type","F","filler","1","0,869","0,689",NA
"242","pavo","pavo","speak","F","filler","1","0.70689900000000006","0.41035699999999997","weird sound quality (16_808)"
"243","aguja","aguja","type","NT","nontarget","1","0,999","0,688",NA
"244","aguja","aguja","speak","T","switch","1","0.56697600000000004","0.61756899999999992",NA
"245","cerdo","cerdo","speak","F","filler","1","0.94350500000000004","0.55949199999999988","weird sound quality (30_855)"
"246","manzana","manzana","type","F","filler","1","0,835","0,816",NA
"247","conejo","conejo","speak","NT","nontarget","1","0.81699999999999995","0.54945200000000005",NA
"248","conejo","conejo","type","T","switch","1","0,991","0,704",NA
"249","miel","miel","type","NT","nontarget","1","0,955","0,432",NA
"250","miel","miel","speak","T","switch","1","1.2635909999999999","0.40509499999999998",NA
"251","cuerda","cuerda","type","F","filler","1","0,983","0,688",NA
"252","goma","goma","speak","NT","nontarget","1","0.665574","0.51792999999999989",NA
"253","goma","goma","speak","T","repeat","1","0.60012399999999999","0.40457500000000002",NA
"254","granja","granja","type","F","filler","1","1,304","0,655",NA
