Trial_no;CorrectAns;SubjResponse;Notes;backspace;Item_correct;Modality_Correct;Error_Corrected;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;RepSwitch;baseline;baseline_condition;micRespv1l1.started
105;muñeca;muñeca;;0;;1;0;0;0.599684;0.622341;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;514.6848776
106;pierna;pierna;;0;;1;0;0;1.8244084;0.8160058;type;['p', 'i', 'e', 'r', 'n', 'a'];1.8244084;2.0485662;2.240505;2.4004445;2.5604463;2.6404142;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;519.3173777
107;traje;traje;;0;;1;0;0;0.998707;0.423814;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;523.9151028
108;traje;traje;;0;;1;0;0;0.889372;0.430937;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;528.5060156
109;tenedor;tenedor;;0;;1;0;0;1.3040585;0.9933624;type;['t', 'e', 'n', 'e', 'd', 'o', 'r'];1.3040585;1.4000549;1.5601965;1.6242007;1.8800582;2.1840859;2.2974209;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;533.1659397
110;pulpo;pulpo;;0;;1;0;0;1.825;0.415089;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;537.7849254
111;cazador;cazador;;0;;1;0;0;0.968;0.56146;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;542.4803938
112;cazador;cazador;;0;;1;0;0;1.0512895;1.1039395;type;['c', 'a', 'z', 'a', 'd', 'o', 'r'];1.0512895;1.1472345;1.323231;1.4992373;1.7552349;1.9632335;2.155229;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;547.0987938
113;taza;taza;;0;;1;0;0;1.9600495;0.4153472;type;['t', 'a', 'z', 'a'];1.9600495;2.0400439;2.2314326;2.3753967;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;repeat;551.7104997
114;fresa;fresa;;0;;1;0;0;1.1862682;0.623414;type;['f', 'r', 'e', 's', 'a'];1.1862682;1.3616912;1.4586632;1.6336898;1.8096822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;556.3081964
115;fresa;fresa;;0;;1;0;0;0.643412;0.548059;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;560.8985892
116;puente;puente;;0;;1;0;0;0.929;0.462981;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;565.4622038
117;puente;puente;;0;;1;0;0;0.7804521;1.1042131;type;['p', 'u', 'e', 'n', 't', 'e'];0.7804521;1.0684149;1.2608756;1.4367053;1.6606735;1.8846652;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;570.185171
